날짜,치료중,누적확진,누적격리해제,누적사망,확진,격리해제,사망
1월 21일,1,1,0,0,1,0,0
1월 22일,1,1,0,0,0,0,0
1월 23일,1,1,0,0,0,0,0
1월 24일,2,2,0,0,1,0,0
1월 25일,2,2,0,0,0,0,0
1월 26일,2,2,0,0,0,0,0
1월 27일,4,4,0,0,2,0,0
1월 28일,4,4,0,0,0,0,0
1월 29일,4,4,0,0,0,0,0
1월 30일,7,7,0,0,3,0,0
1월 31일,11,11,0,0,4,0,0
2월 1일,12,12,0,0,1,0,0
2월 2일,15,15,0,0,3,0,0
2월 3일,15,15,0,0,0,0,0
2월 4일,16,16,0,0,1,0,0
2월 5일,20,21,1,0,5,1,0
2월 6일,22,24,2,0,3,1,0
2월 7일,22,24,2,0,0,0,0
2월 8일,22,24,2,0,0,0,0
2월 9일,24,27,3,0,3,1,0
2월 10일,23,27,4,0,0,1,0
2월 11일,24,28,4,0,1,0,0
2월 12일,21,28,7,0,0,3,0
2월 13일,21,28,7,0,0,0,0
2월 14일,21,28,7,0,0,0,0
2월 15일,19,28,9,0,0,2,0
2월 16일,20,29,9,0,1,0,0
2월 17일,20,30,10,0,1,1,0
2월 18일,27,39,12,0,9,2,0
2월 19일,30,46,16,0,7,4,0
2월 20일,87,104,16,1,58,0,1
2월 21일,186,204,17,1,100,1,0
2월 22일,412,433,18,3,229,1,2
2월 23일,584,608,18,6,175,0,3
2월 24일,813,843,22,8,235,4,2
2월 25일,944,977,22,11,134,0,3
2월 26일,1225,1261,24,12,284,2,1
2월 27일,1727,1766,26,13,505,2,1
2월 28일,2294,2337,27,16,571,1,3
2월 29일,3105,3150,28,17,813,1,1
3월 1일,3684,3736,30,22,586,2,5
3월 2일,4153,4212,31,28,476,1,6
3월 3일,4747,4812,34,31,600,3,3
3월 4일,5253,5328,41,34,516,7,3
3월 5일,5636,5766,88,42,438,47,8
3월 6일,6132,6284,108,44,518,20,2
3월 7일,6600,6767,118,49,483,10,5
3월 8일,6954,7134,130,50,367,12,1
3월 9일,7162,7382,166,54,248,36,4
3월 10일,7208,7513,247,58,131,81,4
3월 11일,7404,7755,288,63,242,41,5
3월 12일,7469,7869,333,67,114,45,4
3월 13일,7397,7979,510,72,110,177,5
3월 14일,7297,8086,714,75,107,204,3
3월 15일,7253,8162,834,75,76,120,0
3월 16일,7018,8236,1137,81,74,303,6
3월 17일,6835,8320,1401,84,84,264,3
3월 18일,6782,8413,1540,91,93,139,7
3월 19일,6524,8565,1947,94,152,407,3
3월 20일,6317,8652,2233,102,87,286,8
3월 21일,6083,8799,2612,104,147,379,2
3월 22일,5877,8897,2909,111,98,297,7
3월 23일,5677,8961,3166,118,64,257,7
3월 24일,5405,9037,3507,125,76,341,7
3월 25일,5276,9137,3730,131,100,223,6
